    INT     ,         FLOAT          ,          FLOAT           ,        FLOAT        ,     FLOAT     ,      FLOAT       ,        FLOAT        ,      FLOAT      ,     FLOAT     ,    INT    ,     FLOAT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     FLOAT      ,      INT      , BOOL  ,      INT       ,      INT       ,         INT         ,    FLOAT     ,      FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,        BOOL        ,      FLOAT       ,      FLOAT       ,    FLOAT     ,        BOOL        
     -      ,         kms^-1         ,          kms^-1          ,          -          ,    kms^-1     ,        -         ,          -          ,        -        ,       -       ,     -     ,       -       ,      -       ,      Rsol      ,     Rsol     ,      Myr       ,     State     , State ,       -        ,       -        ,          -          ,     Msol     ,      Msol       ,      Msol      ,       Msol        ,       Msol        ,     Msol     ,       Event        ,      kms^-1      ,      kms^-1      ,    kms^-1    ,       State        
    SEED    ,Drawn_Kick_Magnitude(SN),Applied_Kick_Magnitude(SN),Fallback_Fraction(SN),Orb_Velocity<SN,Kick_Magnitude(uK),True_Anomaly(psi)(SN),SN_Kick_Theta(SN),SN_Kick_Phi(SN),SN_Type(SN),Eccentricity<SN, Eccentricity ,SemiMajorAxis<SN,SemiMajorAxis ,      Time      ,Supernova_State,Unbound,Stellar_Type(CP),Stellar_Type(SN),Stellar_Type_Prev(SN),   Mass(CP)   ,Mass_Total@CO(SN),Mass_Core@CO(SN),Mass_CO_Core@CO(SN),Mass_He_Core@CO(SN),   Mass(SN)   ,Experienced_RLOF(SN),ComponentSpeed(SN),ComponentSpeed(CP),SystemicSpeed ,Is_Hydrogen_Poor(SN)
  1605159495,            2.763123e+02,              1.872352e+02,         3.223785e-01,   2.491288e+02,      7.515598e-01,         5.985127e+00,     4.113059e+00,   2.202265e-02,          1,   0.000000e+00,  9.241496e-01,    4.312439e+01,  4.946887e+02,  7.94777677e+00,              1,0,               1,              13,                    8,  6.863171e+00,     7.173039e+00,    5.216516e+00,       5.216516e+00,       7.173039e+00,  2.661909e+00,1,      8.448601e+01,      8.448601e+01,  8.448601e+01,1
  1605159496,            1.751306e+02,              1.445995e+02,         1.743332e-01,   2.238093e+01,      6.460838e+00,         2.390710e+00,     4.661156e+00,  -1.416773e+00,          1,   0.000000e+00,  1.221363e+02,    8.261876e+03, -6.814817e+01,  1.09432023e+01,              1,1,               1,              14,                    5,  3.658145e+00,     1.804456e+01,    6.286013e+00,       4.521436e+00,       6.286013e+00,  3.797219e+00,0,      1.439506e+02,      1.855592e+01,  7.422711e+01,0
  1605159501,            1.633159e+02,              9.546367e+01,         4.154660e-01,   8.670688e+00,      1.100993e+01,         3.434544e+00,     3.641442e+00,  -7.530304e-01,          1,   0.000000e+00,  1.731518e+02,    7.091104e+04, -3.630263e+02,  8.68949009e+00,              1,1,               1,              14,                    5,  5.998671e+00,     2.195894e+01,    8.120239e+00,       6.450262e+00,       8.120239e+00,  8.947387e+00,0,      9.387996e+01,      6.948488e+00,  5.838854e+01,0
  1605159502,            8.861542e+02,              0.000000e+00,         1.000000e+00,   7.372218e+00,      0.000000e+00,         1.394021e+00,     3.586745e+00,   4.285375e-01,          1,   0.000000e+00,  8.022742e-02,    1.745085e+05,  1.897300e+05,  5.53113715e+00,              1,0,               1,              14,                    5,  1.279819e+01,     3.694023e+01,    1.600127e+01,       1.206237e+01,       1.600127e+01,  3.324620e+01,0,      1.521870e-01,      1.521870e-01,  1.521870e-01,0
  1605159502,            5.471557e+02,              5.315183e+02,         2.857944e-02,   6.658560e+00,      7.982481e+01,         1.917544e+00,     1.268507e-02,   9.110504e-01,          1,   8.022742e-02,  6.831581e+03,    1.897300e+05, -2.385728e+01,  1.78819856e+01,              2,1,              14,              13,                    5,  3.324620e+01,     1.279819e+01,    4.016296e+00,       2.762939e+00,       4.016296e+00,  1.387155e+00,0,      5.276024e+02,      1.755958e+00,  2.256021e+01,0
  1605159503,            4.430975e+02,              4.329273e+02,         2.295241e-02,   1.521476e+01,      2.845443e+01,         1.128256e+00,     5.043729e+00,   1.047582e-01,          1,   0.000000e+00,  1.401887e+03,    1.610404e+04, -1.132645e+01,  2.76630189e+01,              1,1,               4,              13,                    5,  9.636204e+00,     9.913681e+00,    2.879120e+00,       1.882219e+00,       2.879120e+00,  1.277584e+00,0,      4.306384e+02,      7.722870e+00,  5.263721e+01,0
