    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,       FLOAT        ,       FLOAT        ,     FLOAT     ,     FLOAT     ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,      INT      ,     FLOAT     ,         FLOAT          ,       FLOAT       ,          FLOAT          ,      FLOAT      ,    FLOAT     ,    FLOAT     ,     FLOAT     ,        FLOAT        ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,      INT      ,     FLOAT     ,         FLOAT          ,       FLOAT       ,          FLOAT          ,      FLOAT      ,    FLOAT     ,    FLOAT     ,     FLOAT     ,        FLOAT        ,    FLOAT     ,   INT    , BOOL ,    BOOL     ,     INT      ,     BOOL     , BOOL  ,     FLOAT      ,    FLOAT     ,       FLOAT       ,      FLOAT      ,      FLOAT      , BOOL  ,     FLOAT      ,    FLOAT     ,       FLOAT       ,      FLOAT      ,      FLOAT      ,    FLOAT     ,    FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,      BOOL       ,      BOOL       
     -      ,      Myr       ,      -       ,      -       ,        erg         ,        erg         ,       -       ,       -       ,      Rsol      ,      Rsol      ,     Rsol     ,     Rsol     ,     Rsol     ,     Rsol     ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,       -       ,       -       ,           -            ,         -         ,            -            ,        -        ,     erg      ,     erg      ,      erg      ,         erg         ,     erg      ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,       -       ,       -       ,           -            ,         -         ,            -            ,        -        ,     erg      ,     erg      ,      erg      ,         erg         ,     erg      ,    -     ,Event ,    State    ,    Count     ,    Event     , State ,      Lsol      ,      K       ,        Myr        ,       Myr       ,       Myr       , State ,      Lsol      ,      K       ,        Myr        ,       Myr       ,       Myr       ,      -       ,      -       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Event      ,      Event      
    SEED    ,      Time      , Lambda@CE(1) , Lambda@CE(2) ,Binding_Energy<CE(1),Binding_Energy<CE(2),Eccentricity<CE,Eccentricity>CE,SemiMajorAxis<CE,SemiMajorAxis>CE,RocheLobe_1<CE,RocheLobe_1>CE,RocheLobe_2<CE,RocheLobe_2>CE,  Mass_1<CE   ,  Mass_Env_1  , Core_Mass_1  , Radius_1<CE  , Radius_1>CE  ,Stellar_Type_1<CE,Stellar_Type(1),Lambda_Fixed(1),Lambda_Lambda_Nanjing(1),Lambda_Loveridge(1),Lambda_Loveridge_Winds(1),Lambda_Kruckow(1), BE_Fixed(1)  ,BE_Nanjing(1) ,BE_Loveridge(1),BE_Loveridge_Winds(1),BE_Kruckow(1) ,  Mass_2<CE   ,  Mass_Env_2  , Core_Mass_2  , Radius_2<CE  , Radius_2>CE  ,Stellar_Type_2<CE,Stellar_Type(2),Lambda_Fixed(2),Lambda_Lambda_Nanjing(2),Lambda_Loveridge(2),Lambda_Loveridge_Winds(2),Lambda_Kruckow(2), BE_Fixed(2)  ,BE_Nanjing(2) ,BE_Loveridge(2),BE_Loveridge_Winds(2),BE_Kruckow(2) ,MT_History,Merger,Optimistic_CE,CE_Event_Count,Double_Core_CE,RLOF(1),Luminosity<CE(1),  Teff<CE(1)  ,Tau_Dynamical<CE(1),Tau_Thermal<CE(1),Tau_Nuclear<CE(1),RLOF(2),Luminosity<CE(2),  Teff<CE(2)  ,Tau_Dynamical<CE(2),Tau_Thermal<CE(2),Tau_Nuclear<CE(2),  Zeta_Star   ,  Zeta_Lobe   ,    Tau_Sync    ,    Tau_Circ    ,Tau_Radial<CE(1),Tau_Radial<CE(2),Immediate_RLOF>CE,Simultaneous_RLOF
  1605160536,  8.34224389e+00,  1.000000e+00,  5.000000e-02,        2.051097e+50,        1.008465e+50,   0.000000e+00,   0.000000e+00,    8.871042e+02,    0.000000e+00,  2.243066e+02,          -nan,  4.607500e+02,          -nan,  6.550724e+00,  6.550724e+00,  0.000000e+00,  7.939822e-01,  0.000000e+00,                7,             15,   1.000000e-01,            1.000000e+00,       3.439403e+00,             2.872258e-02,     2.165307e+01,  2.051097e+51,  2.051097e+50,   5.963527e+49,         7.141063e+51,  9.472547e+48,  3.223829e+01,  2.161572e+01,  1.062258e+01,  5.244805e+02,  9.721740e-01,                2,              7,   1.000000e-01,            5.000000e-02,       4.661905e-02,             1.004761e-03,     2.854787e-01,  5.042323e+49,  1.008465e+50,   1.081601e+50,         5.018428e+51,  1.766269e+49,         4,1,1,             1,0,0,    9.045547e+04,  1.124555e+05,     1.38210642e-11,   1.79247999e-02,   7.24193287e-01,1,    3.537689e+05,  6.153083e+03,     1.05773765e-07,   1.12671463e-04,   9.11281110e-01,  6.500000e+00,  7.208690e+00,  0.00000000e+00,  0.00000000e+00, -2.53615984e+06,  1.62306608e+03,1,0
  1605160537,  1.45733808e+01,  4.225605e-01,  1.000000e+00,        1.423312e+49,        4.048209e+49,   0.000000e+00,   0.000000e+00,    1.801559e+02,    0.000000e+00,  8.181093e+01,          -nan,  5.551339e+01,          -nan,  1.362050e+01,  1.027402e+01,  3.346483e+00,  8.830047e+01,  4.720791e-01,                4,              7,   1.000000e-01,            4.225605e-01,       2.066281e-01,             2.066281e-01,     9.363064e-01,  6.014353e+49,  1.423312e+49,   2.910714e+49,         2.910714e+49,  6.423488e+48,  5.812525e+00,  5.812525e+00,  0.000000e+00,  3.167270e+00,  0.000000e+00,                1,             15,   1.000000e-01,            1.000000e+00,       1.049198e+00,             1.049198e+00,     8.608680e+00,  4.048209e+50,  4.048209e+49,   3.858385e+49,         3.858385e+49,  4.702474e+48,         3,1,0,             1,0,1,    5.556843e+04,  9.440676e+03,     1.12413359e-08,   8.55586018e-04,   2.45112255e+00,0,    9.960580e+02,  1.823921e+04,     1.16900211e-10,   3.21278171e-01,   5.83552925e+01,  4.882987e-02,  2.199260e+00,  0.00000000e+00,  0.00000000e+00,  2.60770551e+04,  1.41722225e+08,1,0
  1605160539,  2.62899725e+01,  4.478298e-02,  1.000000e+00,        1.593845e+49,        2.493085e+49,   0.000000e+00,   0.000000e+00,    2.947054e+01,    0.000000e+00,  9.758677e+00,          -nan,  1.263366e+01,          -nan,  2.299246e+00,  8.815881e-01,  1.417657e+00,  1.077731e+01,  1.437401e-05,                8,             13,   1.000000e-01,            4.478298e-02,       3.432131e-01,             1.778734e-03,     3.805278e+00,  7.137713e+48,  1.593845e+49,   2.079674e+48,         4.012806e+50,  1.875740e+47,  4.049263e+00,  4.049263e+00,  0.000000e+00,  2.495935e+00,  0.000000e+00,                1,             15,   1.000000e-01,            1.000000e+00,       1.065299e+00,             1.008132e+00,     1.009031e+01,  2.493085e+50,  2.493085e+49,   2.340267e+49,         2.472974e+49,  2.470772e+48,         3,1,1,             1,0,1,    2.585884e+04,  2.231899e+04,     1.16665599e-09,   5.69079116e-04,   8.89152739e-01,0,    2.616855e+02,  1.470977e+04,     9.79787284e-11,   7.53113457e-01,   1.54737775e+02,  6.500000e+00,  3.063358e+00,  0.00000000e+00,  0.00000000e+00,  2.00225900e+04,  3.44578937e+08,1,0
