    INT     ,         FLOAT          ,          FLOAT           ,        FLOAT        ,     FLOAT     ,      FLOAT       ,        FLOAT        ,      FLOAT      ,     FLOAT     ,    INT    ,     FLOAT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     FLOAT      ,      INT      , BOOL  ,      INT       ,      INT       ,         INT         ,    FLOAT     ,      FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,        BOOL        ,      FLOAT       ,      FLOAT       ,    FLOAT     ,        BOOL        
     -      ,         kms^-1         ,          kms^-1          ,          -          ,    kms^-1     ,        -         ,          -          ,        -        ,       -       ,     -     ,       -       ,      -       ,      Rsol      ,     Rsol     ,      Myr       ,     State     , State ,       -        ,       -        ,          -          ,     Msol     ,      Msol       ,      Msol      ,       Msol        ,       Msol        ,     Msol     ,       Event        ,      kms^-1      ,      kms^-1      ,    kms^-1    ,       State        
    SEED    ,Drawn_Kick_Magnitude(SN),Applied_Kick_Magnitude(SN),Fallback_Fraction(SN),Orb_Velocity<SN,Kick_Magnitude(uK),True_Anomaly(psi)(SN),SN_Kick_Theta(SN),SN_Kick_Phi(SN),SN_Type(SN),Eccentricity<SN, Eccentricity ,SemiMajorAxis<SN,SemiMajorAxis ,      Time      ,Supernova_State,Unbound,Stellar_Type(CP),Stellar_Type(SN),Stellar_Type_Prev(SN),   Mass(CP)   ,Mass_Total@CO(SN),Mass_Core@CO(SN),Mass_CO_Core@CO(SN),Mass_He_Core@CO(SN),   Mass(SN)   ,Experienced_RLOF(SN),ComponentSpeed(SN),ComponentSpeed(CP),SystemicSpeed ,Is_Hydrogen_Poor(SN)
  1605159514,            4.426756e+02,              4.336660e+02,         2.035269e-02,   1.006667e+01,      4.307939e+01,         8.816586e-01,     4.678509e+00,  -1.627657e-01,          1,   0.000000e+00,  4.065438e+03,    3.379545e+04, -8.313710e+00,  9.60164088e-02,              1,1,               1,              13,                    5,  6.933392e+00,     1.102671e+01,    3.307341e+00,       2.206920e+00,       3.307341e+00,  1.277584e+00,0,      4.337070e+02,      6.179650e+00,  6.749870e+01,0
  1605159516,            6.303671e+02,              6.147526e+02,         2.477051e-02,   2.674454e+01,      2.298610e+01,         1.139742e-01,     5.909190e+00,  -9.444807e-02,          1,   0.000000e+00,  1.234766e+03,    2.560863e+03, -8.247942e-01,  1.24892060e-01,              1,1,               0,              13,                    5,  3.317308e-01,     9.274116e+00,    2.639575e+00,       1.691707e+00,       2.639575e+00,  1.277584e+00,0,      6.145350e+02,      2.583364e+01,  4.889373e+02,0
  1605159517,            4.516114e+02,              4.411412e+02,         2.318395e-02,   3.396209e+00,      1.298923e+02,         4.703820e+00,     4.357317e+00,   8.938013e-01,          1,   0.000000e+00,  1.186968e+05,    1.636370e+05, -1.326144e+00,  1.16203651e-01,              1,1,               0,              13,                    5,  7.138187e-02,     9.826659e+00,    2.846238e+00,       1.858086e+00,       2.846238e+00,  1.277584e+00,0,      4.411358e+02,      3.372271e+00,  4.178313e+02,0
  1605159520,            4.462247e+02,              4.347435e+02,         2.572966e-02,   3.711979e+00,      1.171191e+02,         6.115232e+00,     2.305867e+00,   6.933009e-01,          1,   0.000000e+00,  2.578612e+04,    2.024190e+05, -7.054037e+00,  1.30683687e-01,              1,1,               1,              13,                    5,  5.653401e+00,     8.973131e+00,    2.528579e+00,       1.605942e+00,       2.528579e+00,  1.277584e+00,0,      4.340030e+02,      2.279730e+00,  8.095809e+01,0
