    INT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT      ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       , BOOL  , BOOL ,     BOOL      ,        BOOL         ,        INT         ,      INT      ,        INT         ,      INT      , INT  
     -      ,     Msol     ,     Msol     ,        AU        ,        -        ,                -                 ,       -        ,      -       ,           -           ,                -                 ,       -        ,      -       ,           -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,         -         ,         -         , State ,Event ,     Event     ,        Event        ,         -          ,       -       ,         -          ,       -       ,  -   
    SEED    , Mass@ZAMS(1) , Mass@ZAMS(2) ,SemiMajorAxis@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number(1),SN_Kick_Theta(1),SN_Kick_Phi(1),SN_Kick_Mean_Anomaly(1),SN_Kick_Magnitude_Random_Number(2),SN_Kick_Theta(2),SN_Kick_Phi(2),SN_Kick_Mean_Anomaly(2),Omega@ZAMS(1) ,Omega@ZAMS(2) ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,  LBV_Factor  ,  WR_Factor   ,   CE_Alpha   ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),Unbound,Merger,Merger_At_Birth,Equilibrated_At_Birth,Stellar_Type@ZAMS(1),Stellar_Type(1),Stellar_Type@ZAMS(2),Stellar_Type(2),Error 
  1605159514,  1.102671e+01,  6.933392e+00,      1.571647e+02,     0.000000e+00,                      6.287815e-01,    4.678509e+00, -1.627657e-01,           8.816586e-01,                      7.990888e-01,    4.804307e+00, -1.094408e-01,           5.709881e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   4,             13,                   1,              1,     0
  1605159515,  4.137629e+01,  5.736912e+00,      1.517516e+00,     0.000000e+00,                      4.189760e-01,    1.734656e+00, -9.445049e-01,           1.000705e+00,                      7.446078e-01,    6.168909e+00, -6.942330e-02,           2.798460e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,0,0,0,                   4,              5,                   1,              1,     0
  1605159516,  9.274116e+00,  3.317308e-01,      1.190922e+01,     0.000000e+00,                      9.045577e-01,    5.909190e+00, -9.444807e-02,           1.139742e-01,                      7.520793e-01,    1.531208e+00,  8.504905e-01,           4.819993e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   4,             13,                   0,              0,     0
  1605159517,  9.826659e+00,  7.138187e-02,      7.609888e+02,     0.000000e+00,                      6.472089e-01,    4.357317e+00,  8.938013e-01,           4.703820e+00,                      5.005379e-03,    5.388155e+00, -5.615996e-01,           5.042829e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   4,             13,                   0,              0,     0
  1605159518,  6.834917e+01,  6.522008e+01,      1.871172e-01,     0.000000e+00,                      5.175485e-01,    3.734349e+00,  7.628723e-01,           4.274590e+00,                      5.046060e-01,    5.413004e+00, -3.404737e-01,           5.965427e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,0,0,0,                   4,              5,                   1,              1,     0
  1605159519,  1.914807e+01,  2.694631e+00,      7.848781e-01,     0.000000e+00,                      8.890113e-01,    6.178710e+00,  1.965374e-01,           1.648289e-01,                      1.646984e-01,    4.691199e+00, -8.822490e-01,           5.869694e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,0,0,0,                   4,              5,                   1,              1,     0
  1605159520,  8.973131e+00,  5.653401e+00,      9.413436e+02,     0.000000e+00,                      6.361533e-01,    2.305867e+00,  6.933009e-01,           6.115232e+00,                      3.084993e-01,    3.098668e+00, -7.521316e-01,           2.585116e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   4,             13,                   1,              1,     0
  1605159521,  1.026935e+01,  6.098024e+00,      4.356654e+00,     0.000000e+00,                      6.828602e-01,    5.744305e+00, -6.045716e-01,           5.251533e+00,                      7.440563e-01,    4.679514e+00,  2.815805e-01,           3.564355e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   4,              8,                   1,             15,     0
