    INT     ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,        INT         ,        INT         ,      INT      ,      INT      ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT     ,       FLOAT       ,       FLOAT       ,   INT    ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,     FLOAT      ,     FLOAT      
     -      ,      Myr       ,      Myr       ,     Rsol     ,      -       ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol      ,     Msol      ,     Msol      ,     Msol      ,     Rsol     ,     Rsol     ,      -       ,      -       ,      -       ,      -       ,    yr^-1     ,    yr^-1     ,    yr^-1     ,    yr^-1     ,         -          ,         -          ,       -       ,       -       ,      Myr       ,      Myr       ,     Lsol     ,     Lsol     ,      K       ,      K       ,Msol*AU^2*yr^-1,Msol*AU^2*yr^-1,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,       -        ,       -        ,         -         ,         -         ,      -       ,      -       ,        -        ,        -        ,     Msol     ,     Msol     ,     Msol     ,     Msol     , Msol*AU^2*yr^-1  ,Msol*AU^2*yr^-2,         -         ,         -         ,    -     ,       Tesla       ,       Tesla       ,       rad/s       ,       rad/s       ,      rad/s^2      ,      rad/s^2      ,      Myr       ,      Myr       
    SEED    ,       dT       ,      Time      ,SemiMajorAxis , Eccentricity , Mass@ZAMS(1) , Mass@ZAMS(2) ,  Mass_0(1)   ,  Mass_0(2)   ,   Mass(1)    ,   Mass(2)    , Mass_Env(1)  , Mass_Env(2)  , Mass_Core(1) , Mass_Core(2) ,Mass_He_Core(1),Mass_He_Core(2),Mass_CO_Core(1),Mass_CO_Core(2),  Radius(1)   ,  Radius(2)   ,RocheLobe_1/a ,RocheLobe_2/a , Radius_1/RL  , Radius_2/RL  ,   Omega(1)   ,   Omega(2)   ,Omega_Break(1),Omega_Break(2),Stellar_Type@ZAMS(1),Stellar_Type@ZAMS(2),Stellar_Type(1),Stellar_Type(2),     Age(1)     ,     Age(2)     ,Luminosity(1) ,Luminosity(2) ,   Teff(1)    ,   Teff(2)    ,Ang_Momentum(1),Ang_Momentum(2),Tau_Dynamical(1),Tau_Dynamical(2), Tau_Thermal(1) , Tau_Thermal(2) , Tau_Nuclear(1) , Tau_Nuclear(2) ,Zeta_Soberman(1),Zeta_Soberman(2),Zeta_SoberMan_He(1),Zeta_SoberMan_He(2),Zeta_Hurley(1),Zeta_Hurley(2),Zeta_Hurley_He(1),Zeta_Hurley_He(2),  dmWinds(1)  ,  dmWinds(2)  ,   dmMT(1)    ,   dmMT(2)    ,Ang_Momentum_Total, Energy_Total  ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),MT_History,Pulsar_Mag_Field(1),Pulsar_Mag_Field(2),Pulsar_Spin_Freq(1),Pulsar_Spin_Freq(2),Pulsar_Spin_Down(1),Pulsar_Spin_Down(2), Tau_Radial(1)  , Tau_Radial(2)  
  1605160541,  0.00000000e+00,  0.00000000e+00,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.467675e+00,  2.266041e+00,  5.115649e-01,  2.592236e-01,  6.709974e-05,  5.487974e-05,  0.000000e+00,  0.000000e+00,  6.428226e+03,  1.136338e+04,                   1,                   1,              1,              1,  0.00000000e+00,  0.00000000e+00,  2.836494e+04,  2.006108e+02,  3.206798e+04,  1.444549e+04,   0.000000e+00,   0.000000e+00,  1.54103833e-10,  8.71760319e-11,  5.72768735e-02,  9.66935150e-01,  6.06651771e+00,  1.90807213e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00, -1.00000000e+00, -1.00000000e+00
  1605160541,  1.04443549e-04,  1.04443549e-04,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.467704e+00,  2.266041e+00,  5.115649e-01,  2.592236e-01,  6.710009e-05,  5.487975e-05,  0.000000e+00,  0.000000e+00,  6.428176e+03,  1.136337e+04,                   1,                   1,              1,              1,  1.04443549e-04,  1.04443549e-04,  2.836508e+04,  2.006108e+02,  3.206794e+04,  1.444549e+04,   0.000000e+00,   0.000000e+00,  1.54105035e-10,  8.71760660e-11,  5.72762844e-02,  9.66934693e-01,  6.06648685e+00,  1.90807173e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  0.00000000e+00,  0.00000000e+00
  1605160541,  1.04443549e-01,  1.04547992e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.496205e+00,  2.266632e+00,  5.115649e-01,  2.592236e-01,  6.744986e-05,  5.489406e-05,  0.000000e+00,  0.000000e+00,  6.378241e+03,  1.135893e+04,                   1,                   1,              1,              1,  1.04547992e-01,  1.04547992e-01,  2.851100e+04,  2.006534e+02,  3.202574e+04,  1.444437e+04,   0.000000e+00,   0.000000e+00,  1.55311532e-10,  8.72101521e-11,  5.66876644e-02,  9.66477523e-01,  6.03543955e+00,  1.90766669e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  2.00368119e+04,  4.00702356e+05
  1605160541,  1.04443549e-01,  2.08991541e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.524866e+00,  2.267223e+00,  5.115649e-01,  2.592236e-01,  6.780159e-05,  5.490837e-05,  0.000000e+00,  0.000000e+00,  6.328672e+03,  1.135449e+04,                   1,                   1,              1,              1,  2.08991541e-01,  2.08991541e-01,  2.866022e+04,  2.006961e+02,  3.198428e+04,  1.444326e+04,   0.000000e+00,   0.000000e+00,  1.56527982e-10,  8.72442515e-11,  5.60999566e-02,  9.66020398e-01,  6.00401436e+00,  1.90726140e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  2.00284490e+07,  4.00701903e+08
  1605160541,  1.04443549e-01,  3.13435090e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.553701e+00,  2.267814e+00,  5.115649e-01,  2.592236e-01,  6.815546e-05,  5.492268e-05,  0.000000e+00,  0.000000e+00,  6.279449e+03,  1.135006e+04,                   1,                   1,              1,              1,  3.13435090e-01,  3.13435090e-01,  2.881281e+04,  2.007387e+02,  3.194351e+04,  1.444214e+04,   0.000000e+00,   0.000000e+00,  1.57754985e-10,  8.72783643e-11,  5.55131385e-02,  9.65563316e-01,  5.97221886e+00,  1.90685586e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  2.00117525e+07,  4.00700997e+08
  1605160541,  1.04443549e-01,  4.17878638e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.582723e+00,  2.268405e+00,  5.115649e-01,  2.592236e-01,  6.851161e-05,  5.493699e-05,  0.000000e+00,  0.000000e+00,  6.230547e+03,  1.134562e+04,                   1,                   1,              1,              1,  4.17878638e-01,  4.17878638e-01,  2.896879e+04,  2.007815e+02,  3.190341e+04,  1.444103e+04,   0.000000e+00,   0.000000e+00,  1.58993154e-10,  8.73124906e-11,  5.49271913e-02,  9.65106279e-01,  5.94006068e+00,  1.90645007e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  1.99867638e+07,  4.00699639e+08
  1605160541,  1.04443549e-01,  5.22322187e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.611944e+00,  2.268996e+00,  5.115649e-01,  2.592236e-01,  6.887022e-05,  5.495131e-05,  0.000000e+00,  0.000000e+00,  6.181946e+03,  1.134119e+04,                   1,                   1,              1,              1,  5.22322187e-01,  5.22322187e-01,  2.912823e+04,  2.008242e+02,  3.186393e+04,  1.443992e+04,   0.000000e+00,   0.000000e+00,  1.60243122e-10,  8.73466303e-11,  5.43421002e-02,  9.64649286e-01,  5.90754751e+00,  1.90604402e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  1.99535451e+07,  4.00697828e+08
  1605160541,  1.04443549e-01,  6.26765736e-01,  1.592873e+05,  0.000000e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  1.720764e+01,  3.827798e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  5.641380e+00,  2.269588e+00,  5.115649e-01,  2.592236e-01,  6.923146e-05,  5.496564e-05,  0.000000e+00,  0.000000e+00,  6.133625e+03,  1.133675e+04,                   1,                   1,              1,              1,  6.26765736e-01,  6.26765736e-01,  2.929116e+04,  2.008671e+02,  3.182504e+04,  1.443880e+04,   0.000000e+00,   0.000000e+00,  1.61505537e-10,  8.73807836e-11,  5.37578538e-02,  9.64192336e-01,  5.87468708e+00,  1.90563772e+02,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.455915e+03,  -1.755182e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  1.99121782e+07,  4.00695564e+08
