    INT     ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,        INT         ,        INT         ,      INT      ,      INT      ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT     ,       FLOAT       ,       FLOAT       ,   INT    ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,     FLOAT      ,     FLOAT      
     -      ,      Myr       ,      Myr       ,     Rsol     ,      -       ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol      ,     Msol      ,     Msol      ,     Msol      ,     Rsol     ,     Rsol     ,      -       ,      -       ,      -       ,      -       ,    yr^-1     ,    yr^-1     ,    yr^-1     ,    yr^-1     ,         -          ,         -          ,       -       ,       -       ,      Myr       ,      Myr       ,     Lsol     ,     Lsol     ,      K       ,      K       ,Msol*AU^2*yr^-1,Msol*AU^2*yr^-1,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,       -        ,       -        ,         -         ,         -         ,      -       ,      -       ,        -        ,        -        ,     Msol     ,     Msol     ,     Msol     ,     Msol     , Msol*AU^2*yr^-1  ,Msol*AU^2*yr^-2,         -         ,         -         ,    -     ,       Tesla       ,       Tesla       ,       rad/s       ,       rad/s       ,      rad/s^2      ,      rad/s^2      ,      Myr       ,      Myr       
    SEED    ,       dT       ,      Time      ,SemiMajorAxis , Eccentricity , Mass@ZAMS(1) , Mass@ZAMS(2) ,  Mass_0(1)   ,  Mass_0(2)   ,   Mass(1)    ,   Mass(2)    , Mass_Env(1)  , Mass_Env(2)  , Mass_Core(1) , Mass_Core(2) ,Mass_He_Core(1),Mass_He_Core(2),Mass_CO_Core(1),Mass_CO_Core(2),  Radius(1)   ,  Radius(2)   ,RocheLobe_1/a ,RocheLobe_2/a , Radius_1/RL  , Radius_2/RL  ,   Omega(1)   ,   Omega(2)   ,Omega_Break(1),Omega_Break(2),Stellar_Type@ZAMS(1),Stellar_Type@ZAMS(2),Stellar_Type(1),Stellar_Type(2),     Age(1)     ,     Age(2)     ,Luminosity(1) ,Luminosity(2) ,   Teff(1)    ,   Teff(2)    ,Ang_Momentum(1),Ang_Momentum(2),Tau_Dynamical(1),Tau_Dynamical(2), Tau_Thermal(1) , Tau_Thermal(2) , Tau_Nuclear(1) , Tau_Nuclear(2) ,Zeta_Soberman(1),Zeta_Soberman(2),Zeta_SoberMan_He(1),Zeta_SoberMan_He(2),Zeta_Hurley(1),Zeta_Hurley(2),Zeta_Hurley_He(1),Zeta_Hurley_He(2),  dmWinds(1)  ,  dmWinds(2)  ,   dmMT(1)    ,   dmMT(2)    ,Ang_Momentum_Total, Energy_Total  ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),MT_History,Pulsar_Mag_Field(1),Pulsar_Mag_Field(2),Pulsar_Spin_Freq(1),Pulsar_Spin_Freq(2),Pulsar_Spin_Down(1),Pulsar_Spin_Down(2), Tau_Radial(1)  , Tau_Radial(2)  
  1605160543,  0.00000000e+00,  0.00000000e+00,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.432345e+00,  3.535498e+00,  4.123202e-01,  3.464261e-01,  1.534259e-04,  1.456598e-04,  0.000000e+00,  0.000000e+00,  7.407936e+03,  8.593319e+03,                   1,                   1,              1,              1,  0.00000000e+00,  0.00000000e+00,  1.027134e+04,  3.047637e+03,  2.762915e+04,  2.283195e+04,   0.000000e+00,   0.000000e+00,  1.33723397e-10,  1.15277265e-10,  9.76590124e-02,  1.92449279e-01,  1.18521928e+01,  2.72798022e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00, -1.00000000e+00, -1.00000000e+00
  1605160543,  1.73319695e-04,  1.73319695e-04,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.432367e+00,  3.535506e+00,  4.123202e-01,  3.464261e-01,  1.534267e-04,  1.456602e-04,  0.000000e+00,  0.000000e+00,  7.407880e+03,  8.593287e+03,                   1,                   1,              1,              1,  1.73319695e-04,  1.73319695e-04,  1.027139e+04,  3.047643e+03,  2.762912e+04,  2.283194e+04,   0.000000e+00,   0.000000e+00,  1.33724404e-10,  1.15277690e-10,  9.76580642e-02,  1.92448389e-01,  1.18521372e+01,  2.72797431e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  0.00000000e+00,  0.00000000e+00
  1605160543,  1.73319695e-01,  1.73493014e-01,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.454664e+00,  3.544203e+00,  4.123202e-01,  3.464261e-01,  1.541985e-04,  1.460185e-04,  0.000000e+00,  0.000000e+00,  7.352333e+03,  8.561679e+03,                   1,                   1,              1,              1,  1.73493014e-01,  1.73493014e-01,  1.032021e+04,  3.054299e+03,  2.759258e+04,  2.281635e+04,   0.000000e+00,   0.000000e+00,  1.34734685e-10,  1.15703282e-10,  9.67095796e-02,  1.91557813e-01,  1.17960666e+01,  2.72202938e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.44550542e+04,  7.04624532e+04
  1605160543,  1.73319695e-01,  3.46812709e-01,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.477081e+00,  3.552922e+00,  4.123202e-01,  3.464261e-01,  1.549745e-04,  1.463777e-04,  0.000000e+00,  0.000000e+00,  7.297182e+03,  8.530183e+03,                   1,                   1,              1,              1,  3.46812709e-01,  3.46812709e-01,  1.037033e+04,  3.061049e+03,  2.755676e+04,  2.280092e+04,   0.000000e+00,   0.000000e+00,  1.35752998e-10,  1.16130488e-10,  9.57603577e-02,  1.90666365e-01,  1.17390646e+01,  2.71602693e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.44415566e+07,  7.04554760e+07
  1605160543,  1.73319695e-01,  5.20132404e-01,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.499628e+00,  3.561663e+00,  4.123202e-01,  3.464261e-01,  1.557549e-04,  1.467378e-04,  0.000000e+00,  0.000000e+00,  7.242402e+03,  8.498797e+03,                   1,                   1,              1,              1,  5.20132404e-01,  5.20132404e-01,  1.042175e+04,  3.067894e+03,  2.752164e+04,  2.278564e+04,   0.000000e+00,   0.000000e+00,  1.36779812e-10,  1.16559356e-10,  9.48104162e-02,  1.89774047e-01,  1.16811473e+01,  2.70996739e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.44146063e+07,  7.04415328e+07
  1605160543,  1.73319695e-01,  6.93452098e-01,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.522316e+00,  3.570429e+00,  4.123202e-01,  3.464261e-01,  1.565403e-04,  1.470990e-04,  0.000000e+00,  0.000000e+00,  7.187969e+03,  8.467517e+03,                   1,                   1,              1,              1,  6.93452098e-01,  6.93452098e-01,  1.047449e+04,  3.074833e+03,  2.748718e+04,  2.277051e+04,   0.000000e+00,   0.000000e+00,  1.37815609e-10,  1.16989935e-10,  9.38597785e-02,  1.88880867e-01,  1.16223311e+01,  2.70385119e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.43742664e+07,  7.04206317e+07
  1605160543,  1.73319695e-01,  8.66771793e-01,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.545154e+00,  3.579221e+00,  4.123202e-01,  3.464261e-01,  1.573308e-04,  1.474612e-04,  0.000000e+00,  0.000000e+00,  7.133862e+03,  8.436341e+03,                   1,                   1,              1,              1,  8.66771793e-01,  8.66771793e-01,  1.052857e+04,  3.081869e+03,  2.745336e+04,  2.275552e+04,   0.000000e+00,   0.000000e+00,  1.38860882e-10,  1.17422277e-10,  9.29084735e-02,  1.87986829e-01,  1.15626323e+01,  2.69767880e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.43206309e+07,  7.03927852e+07
  1605160543,  1.73319695e-01,  1.04009149e+00,  7.006485e+04,  0.000000e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  1.217379e+01,  8.313892e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.568152e+00,  3.588038e+00,  4.123202e-01,  3.464261e-01,  1.581269e-04,  1.478244e-04,  0.000000e+00,  0.000000e+00,  7.080058e+03,  8.405263e+03,                   1,                   1,              1,              1,  1.04009149e+00,  1.04009149e+00,  1.058400e+04,  3.089000e+03,  2.742015e+04,  2.274068e+04,   0.000000e+00,   0.000000e+00,  1.39916140e-10,  1.17856430e-10,  9.19565354e-02,  1.87091940e-01,  1.15020678e+01,  2.69145064e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      2.536076e+03,  -6.131448e+00,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  3.42538242e+07,  7.03580098e+07
